�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
3159,2001/2/6,Williams Energy Partners ,WEG,Lehman Brothers/ Banc of America Securities,21.5,24,24,0.1163
3160,2001/2/8,KPMG Consulting ,KCIN,Morgan Stanley Dean Witter,18,20.44,23.48,0.3047
3161,2001/2/9,Oil States International ,OIS,Merrill Lynch/Credit Suisse First Boston,9,9.02,9.15,0.0167
3162,2001/2/9,Third Wave Tech ,TWTI,Lehman Brothers,11,11,11.06,0.0057
3163,2001/2/12,AquaCell Technologies ,AQA,Somerset Financial,5,5,5,0
3164,2001/2/13,GMX Resources ,GMXR/GMXRW,Paulson,8,7.75,8,0
3165,2001/2/16,Riverstone Networks ,RSTN,Morgan Stanley Dean Witter,12,13.5,13.06,0.0885
3166,2001/2/21,CNOOC,CEO,Merrill Lynch/Credit Suisse First Boston,15.4,16.5,16.12,0.0468
3167,2001/3/2,AFC Enterprises ,AFCE,"Goldman, Sachs/Credit Suisse First Boston",17,19.5,20.38,0.1985
3168,2001/3/6,Stelmar Shipping,SJH,Jefferies/Alpha Finance,12,12.25,12.25,0.0208
3169,2001/3/7,Seattle Genetics,SGEN,J.P. Morgan,7,7.66,8.25,0.1786
3170,2001/3/9,Encore Acquisition ,EAC,"Goldman, Sachs",14,15,14.55,0.0393
3171,2001/3/9,Loudcloud ,LDCL,"Goldman, Sachs/MSDW",6,6.03,6.14,0.0234
3172,2001/3/16,SureBeam,SURE,Merrill Lynch,10,10.02,8.59,-0.1406
3173,2001/3/21,Verisity,VRST,Robertson Stephens,7,8.38,8,0.1429
3174,2001/3/28,Agere Systems,AGR,Morgan Stanley Dean Witter,6,6.05,6.02,0.0033
3175,2001/4/5,Select Medical,SLMC,Merrill Lynch,9.5,9.56,10.13,0.0658
